Entity Name,Entity ID,Fiscal Year,Hangar Space Rentals_Operating Revenues,Aircraft Parking_Operating Revenues,Building Rentals_Operating Revenues,Lease of Ground Area_Operating Revenues,Fuel Flowage Fees_Operating Revenues,"Landing, Gate, and Ramp Fees_Operating Revenues",Concession Revenues_Operating Revenues,Sales and Services_Operating Revenues,Other Operating Revenues_Operating Revenues,Total Operating Revenues,Landing Areas_Maintenance and Operation_Operating Expenses,Aircraft Parking_Maintenance and Operation_Operating Expenses,Hangars_Maintenance and Operation_Operating Expenses,Terminal Buildings and Areas_Maintenance and Operation_Operating Expenses,Other Buildings and Areas_Maintenance and Operation_Operating Expenses,General Shops and Equipment_Maintenance and Operation_Operating Expenses,Personnel Services_Operating Expenses,Contractual Services_Operating Expenses,Materials and Supplies_Operating Expenses,General and Administrative Expenses_Operating Expenses,Cost of Sales and Services_Operating Expenses,Depreciation and Amortization Expenses_Operating Expenses,Other Operating Expenses_Operating Expenses,Total Operating Expenses,Operating Income (Loss),Investment Income_Nonoperating Revenues,"Rents, Leases, Concessions, and Royalties_Nonoperating Revenues",Passenger Facility Charges_Nonoperating Revenues,Aid for Construction_Intergovernmental ? Federal_Nonoperating Revenues,Other Intergovernmental ? Federal_Intergovernmental ? Federal_Nonoperating Revenues,Aid for Construction_Intergovernmental ? State_Nonoperating Revenues,In-Lieu Taxes_Intergovernmental ? State_Nonoperating Revenues,Other Intergovernmental ? State_Intergovernmental ? State_Nonoperating Revenues,Intergovernmental ? County_Nonoperating Revenues,Intergovernmental ? Other_Nonoperating Revenues,Gain on Disposal of Capital Assets_Nonoperating Revenues,Other Nonoperating Revenues_Nonoperating Revenues,Total Nonoperating Revenues,Interest Expense_Nonoperating Expenses,Taxes and Assessments_Nonoperating Expenses,Judgments and Damages_Nonoperating Expenses,Loss on Disposal of Capital Assets_Nonoperating Expenses,Other Nonoperating Expenses_Nonoperating Expenses,Total Nonoperating Expenses,"Income (Loss) Before Capital Contributions, Transfers, and Special and Extraordinary Items",Federal_Capital Contributions,State_Capital Contributions,County_Capital Contributions,Other Government_Capital Contributions,Other Capital Contributions_Capital Contributions,Total Capital Contributions,Transfers In,Transfers Out,Special Item_Special and Extraordinary Items,Extraordinary Item_Special and Extraordinary Items,Total Special and Extraordinary Items,Change in Net Position,"Net Position (Deficit), Beginning of Fiscal Year",Adjustment,Reason for Adjustment,"Net Position (Deficit), End of Fiscal Year",Net Investment in Capital Assets_Net Position (Deficit),Restricted_Net Position (Deficit),Unrestricted_Net Position (Deficit),Total Net Position (Deficit),Total Acreage_Statistics,Length of Longest Runway Surfaced_Statistics,Length of Longest Runway Unimproved_Statistics,Length of Longest Taxiway Surfaced_Statistics,Length of Longest Taxiway Unimproved_Statistics,Parking Apron Acreage Surfaced_Statistics,Parking Apron Acreage Unimproved_Statistics,Aircraft Tie-Down Acreage_Statistics,Auto Parking Acreage_Statistics,Total Number of Tenant Aircraft_Statistics,Number of Hangars_Statistics,Total Aircraft Movements_Statistics,Annual Fuel Consumption (Gallons)_Statistics,Year of Acquisition_Statistics,Number of Passengers Enplaned_Statistics,Number of Passengers Deplaned_Statistics,Pounds of Air Cargo and Express_Statistics,Pounds of Mail_Statistics,Number of Air Carriers Scheduled per Day_Statistics,Are airport services provided by other than the local agency? (Report Yes or No)_Statistics
Tulare,1560,2024,57225,16,2028,52321,NULL,NULL,3991,NULL,15220,130801,NULL,NULL,NULL,NULL,NULL,NULL,11788,32625,234626,8166,NULL,NULL,228207,515412,-384611,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30000,NULL,NULL,NULL,NULL,30000,NULL,NULL,NULL,NULL,NULL,0,-354611,NULL,NULL,NULL,NULL,NULL,0,50000,NULL,NULL,NULL,0,-304611,3178324,41991,To adjust beg bal to match fs,2915704,3353527,NULL,-437823,2915704,208,3914,3914,3914,2424,4,3,4,NULL,44,40,19101,35524,1971,NULL,NULL,NULL,NULL,NULL,No
Ukiah,1565,2024,436322,NULL,NULL,NULL,NULL,19743,NULL,1272401,NULL,1728466,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,237683,733469,210490,694183,1875825,-147359,5584,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5584,48595,NULL,NULL,NULL,NULL,48595,-190370,2260687,NULL,NULL,NULL,NULL,2260687,NULL,NULL,NULL,NULL,0,2070317,4898872,NULL,NULL,6969189,8404119,NULL,-1434930,6969189,160,5000,NULL,5000,NULL,7,NULL,5,2,87,73,17034,182945,1940,NULL,NULL,2010000,85500,4,No
Victorville,1571,2024,NULL,1302299,NULL,9897239,382140,167956,NULL,NULL,1425808,13175442,NULL,NULL,NULL,NULL,NULL,NULL,3664583,2312896,42271,3948289,NULL,9480389,730887,20179315,-7003873,4998166,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22197204,27195370,16804585,NULL,NULL,NULL,NULL,16804585,3386912,NULL,NULL,NULL,NULL,1723221,1723221,NULL,NULL,NULL,NULL,0,5110133,-107158027,NULL,NULL,-102047894,-130492014,NULL,28444120,-102047894,2200,13052,NULL,10447,NULL,83,230,0,16,307,18,13865,2468016,1994,10199,10052,0,NULL,NULL,No
Visalia,1573,2024,519053,208720,209,159017,1241086,NULL,111415,NULL,160423,2399923,NULL,NULL,NULL,NULL,NULL,NULL,545319,NULL,NULL,1418309,NULL,277479,NULL,2241107,158816,153106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,336504,489610,NULL,NULL,NULL,NULL,92720,92720,555706,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,555706,11467567,NULL,NULL,12023273,10785505,112000,1125768,12023273,806,6561,NULL,6561,NULL,10,NULL,3,1,197,136,71000,288512,1935,NULL,NULL,3650000,NULL,NULL,No
Watsonville,1579,2024,1560205,NULL,NULL,1996263,NULL,NULL,NULL,1305126,16300,4877894,NULL,NULL,NULL,NULL,NULL,NULL,1542190,560681,1373990,507912,882093,411285,NULL,5278151,-400257,20331,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20331,NULL,NULL,NULL,NULL,NULL,0,-379926,NULL,NULL,NULL,NULL,NULL,0,NULL,-5057,NULL,NULL,0,-384983,9139197,NULL,NULL,8754214,9145235,NULL,-391021,8754214,330,4502,NULL,4502,NULL,3,NULL,7,1,309,221,60000,208437,1948,NULL,NULL,NULL,NULL,NULL,No
Willits,1590,2024,78353,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78353,NULL,NULL,NULL,NULL,NULL,NULL,47895,121457,6351,42470,NULL,NULL,NULL,218173,-139820,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,-139820,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-139820,997217,17245,Unaudited TB,874642,1149405,NULL,-274763,874642,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
Woodlake,1594,2024,24580,NULL,19000,NULL,13198,NULL,NULL,NULL,NULL,56778,2171,NULL,NULL,2828,NULL,NULL,2400,951,NULL,10858,20222,2344,NULL,41774,15004,1867,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,11867,NULL,NULL,NULL,NULL,NULL,0,26871,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,26871,133172,NULL,NULL,160043,25786,NULL,134257,160043,80,2303,NULL,NULL,NULL,2,NULL,1,NULL,19,22,4400,3960,2005,NULL,NULL,NULL,NULL,NULL,No
Auburn,1149,2023,NULL,NULL,532936,NULL,NULL,NULL,NULL,128869,NULL,661805,NULL,NULL,NULL,NULL,NULL,126800,320203,13961,165657,NULL,NULL,572479,NULL,1199100,-537295,164373,NULL,NULL,534052,NULL,NULL,86769,NULL,NULL,NULL,NULL,NULL,785194,NULL,NULL,NULL,NULL,NULL,0,247899,NULL,NULL,NULL,NULL,NULL,0,NULL,-25000,NULL,NULL,0,222899,10890693,20819,To adjust beginning to PY audited balance,11134411,9038446,NULL,2095965,11134411,252,3699,NULL,3684,NULL,8,NULL,NULL,2,208,153,75000,216887,1946,NULL,NULL,NULL,NULL,NULL,No
Bakersfield,1153,2023,104538,NULL,228073,NULL,2743,NULL,NULL,NULL,273913,609267,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,345809,NULL,124031,16510,486350,122917,19350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19350,NULL,NULL,NULL,NULL,NULL,0,142267,NULL,NULL,NULL,NULL,NULL,0,NULL,-10242,NULL,NULL,0,132025,11437865,32566,Beginning balance restated,11602456,10681474,NULL,920982,11602456,252,4000,NULL,4000,NULL,7,NULL,NULL,NULL,85,56,20000,80682,1986,NULL,NULL,NULL,NULL,NULL,Yes
Banning,1155,2023,138954,NULL,NULL,500,NULL,NULL,NULL,53924,-22,193356,NULL,NULL,NULL,NULL,NULL,NULL,124402,128329,NULL,NULL,NULL,196005,NULL,448736,-255380,49,NULL,NULL,NULL,43484,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43533,NULL,NULL,NULL,NULL,NULL,0,-211847,NULL,NULL,NULL,NULL,NULL,0,848,NULL,NULL,NULL,0,-210999,2527339,NULL,NULL,2316340,2192367,NULL,123973,2316340,23,5280,0,5280,0,3,0,5,NULL,23,42,NULL,7618,1945,NULL,NULL,NULL,NULL,NULL,No
Brawley,1172,2023,118384,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118384,NULL,NULL,NULL,NULL,NULL,NULL,8093,NULL,82206,14044,NULL,466913,NULL,571256,-452872,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42175,NULL,1154,43329,NULL,NULL,NULL,NULL,NULL,0,-409543,NULL,NULL,NULL,NULL,NULL,0,NULL,-685,NULL,NULL,0,-410228,5767455,NULL,NULL,5357227,4746205,NULL,611022,5357227,128,4166,NULL,4166,NULL,9,NULL,4,1,48,53,3075,59040,1940,NULL,NULL,NULL,NULL,NULL,No
Calexico,1181,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,373546,25,373571,NULL,NULL,NULL,NULL,NULL,NULL,143640,NULL,306457,NULL,NULL,259547,6705,716349,-342778,NULL,NULL,NULL,NULL,1064294,NULL,NULL,10000,NULL,NULL,NULL,NULL,1074294,NULL,NULL,NULL,NULL,NULL,0,731516,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,731516,5970095,-2,Rounding,6701609,6698831,NULL,2778,6701609,257,5179,NULL,4679,NULL,4,NULL,15,NULL,15,16,3002,44092,1946,9006,9006,NULL,NULL,NULL,No
California City,1182,2023,28968,NULL,2400,17283,65018,NULL,NULL,NULL,75137,188806,64716,NULL,NULL,24925,NULL,NULL,92665,1763,NULL,83738,NULL,280877,NULL,548684,-359878,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,NULL,0,-349878,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-349878,2855433,-325558,Adjustment to opening balance,2179997,3443405,NULL,-1263408,2179997,213,6024,NULL,6024,NULL,7,NULL,4,1,16,28,1460,16778,1963,NULL,NULL,NULL,NULL,NULL,No
Calipatria,1184,2023,15840,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15840,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3774,5617,NULL,NULL,NULL,9391,6449,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6449,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,6449,342353,-95809,PPA to match trial balance,252993,189243,NULL,63750,252993,200,3440,NULL,3440,NULL,1,NULL,1,1,NULL,1,2,NULL,1949,NULL,NULL,NULL,NULL,NULL,No
Chico,1197,2023,104189,NULL,565822,NULL,28946,11507,65537,NULL,NULL,776001,NULL,NULL,NULL,NULL,NULL,NULL,288373,172798,17018,333386,NULL,1264724,74280,2150579,-1374578,1814,NULL,NULL,57154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7283,66251,NULL,NULL,NULL,NULL,NULL,0,-1308327,99226,NULL,NULL,NULL,NULL,99226,NULL,-65920,NULL,NULL,0,-1275021,22073326,NULL,NULL,20798305,19110594,NULL,1687711,20798305,1475,6724,NULL,6442,3745,45,52,45,6,141,122,32221,651459,1949,0,0,422000,NULL,0,No
Chowchilla,1200,2023,18889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18889,NULL,NULL,NULL,NULL,NULL,NULL,16916,14337,11196,NULL,NULL,15685,NULL,58134,-39245,1831,NULL,NULL,NULL,261549,10827,NULL,30000,12622,NULL,NULL,4327,321156,NULL,NULL,NULL,NULL,NULL,0,281911,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,281911,666462,44932,To adjust beginning balance,993305,784324,NULL,208981,993305,98,3250,NULL,3250,NULL,2,1,1,9,15,30,8340,NULL,1949,NULL,NULL,NULL,NULL,NULL,No
Cloverdale,1206,2023,52435,NULL,NULL,NULL,50952,NULL,NULL,NULL,600,103987,NULL,NULL,NULL,NULL,NULL,NULL,4778,1604,1478,26165,60949,88547,NULL,183521,-79534,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,180,10180,NULL,NULL,NULL,NULL,NULL,0,-69354,0,NULL,NULL,NULL,NULL,0,2058,NULL,NULL,NULL,0,-67296,11953349,NULL,NULL,11886053,11886053,NULL,NULL,11886053,67,2909,NULL,2845,NULL,3,NULL,1,NULL,20,20,NULL,7283,1960,NULL,NULL,NULL,NULL,NULL,No
Corning,1218,2023,NULL,NULL,19768,NULL,NULL,NULL,NULL,NULL,10000,29768,NULL,NULL,NULL,NULL,NULL,NULL,17573,NULL,NULL,12026,NULL,79014,NULL,108613,-78845,1210,NULL,NULL,34848,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36058,NULL,NULL,NULL,NULL,36806,36806,-79593,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-79593,3615117,-6483,Prior Period Adjustment  Related to GASB 68,3529041,3448572,NULL,80469,3529041,244,3300,NULL,2700,NULL,12,NULL,5,1,23,15,NULL,NULL,1948,NULL,NULL,NULL,NULL,NULL,No
Corona,1219,2023,399703,47175,NULL,NULL,33758,NULL,NULL,NULL,9,480645,NULL,NULL,NULL,NULL,NULL,NULL,91669,5483,103070,NULL,NULL,14297,9751,224270,256375,17535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51639,NULL,NULL,69174,NULL,NULL,NULL,NULL,NULL,0,325549,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,325549,1230191,NULL,NULL,1555740,19354,NULL,1536386,1555740,96,3200,NULL,3200,NULL,30,10,40,3,249,260,40000,147799,NULL,NULL,NULL,NULL,NULL,NULL,Yes
Delano,1236,2023,36015,NULL,69550,223571,72970,0,NULL,58747,NULL,460853,NULL,NULL,NULL,NULL,NULL,NULL,82150,29229,268727,NULL,NULL,93659,NULL,473765,-12912,3385,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,13385,NULL,NULL,NULL,NULL,NULL,0,473,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,473,3383823,1415,SCO: Per preparer adjustment to bring the Beginning fund balance to actual ,3385711,NULL,NULL,3385711,3385711,535,5651,5300,7000,2300,8,NULL,8,1,14,32,382,14181,1972,422,347,NULL,NULL,NULL,No
Dunsmuir,1246,2023,27671,18222,NULL,2230,NULL,NULL,NULL,NULL,535,48658,NULL,NULL,NULL,NULL,NULL,NULL,23901,NULL,14297,13736,NULL,170842,NULL,222776,-174118,NULL,NULL,NULL,14730,22000,NULL,NULL,10000,NULL,NULL,NULL,NULL,46730,594,NULL,NULL,NULL,NULL,594,-127982,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-127982,4535165,-8356,Adjust to audited financial statements,4398827,4415404,NULL,-16577,4398827,26,2800,450,100,NULL,1,NULL,1,1,9,12,2050,5425,1964,NULL,NULL,NULL,NULL,NULL,No
El Paso De Robles,1252,2023,NULL,NULL,814540,13081,95140,50614,NULL,NULL,108031,1081406,NULL,NULL,NULL,NULL,NULL,NULL,9789,NULL,NULL,545058,NULL,466404,NULL,1021251,60155,318367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84111,402478,13797,NULL,NULL,NULL,NULL,13797,448836,NULL,NULL,NULL,NULL,166029,166029,NULL,-44949,NULL,NULL,0,569916,17901576,NULL,NULL,18471492,14848001,NULL,3623491,18471492,1300,6008,0,6200,0,14,0,14,2,223,156,44000,802082,1973,5000,5000,10000,10000,0,Yes
Escalon,1257,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
Fresno,1277,2023,728300,16354,9245120,12287635,238053,3851536,6797967,1881749,79444,35126158,1264605,NULL,NULL,4393712,NULL,NULL,10138505,4293700,941216,6192876,384261,12034503,NULL,39643378,-4517220,563959,-187977,395714,NULL,10673413,NULL,NULL,NULL,NULL,NULL,NULL,2314595,13759704,2865264,NULL,NULL,NULL,12083,2877347,6365137,2324115,NULL,NULL,NULL,NULL,2324115,NULL,-235100,NULL,NULL,0,8454152,200927830,-1476326,Adjust to FY2022 ACFR incl GASB 87,207905656,68193132,4005171,135707353,207905656,1875,9539,0,10500,NULL,93,0,38,32,287,303,89333,2380532,1946,1134406,1131579,27125646,5822,8,No
Fullerton,1278,2023,1146490,111815,560069,3501,38674,NULL,12450,NULL,51125,1924124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1769062,NULL,428398,NULL,2197460,-273336,277834,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226853,504687,NULL,NULL,NULL,NULL,NULL,0,231351,261415,NULL,NULL,NULL,NULL,261415,NULL,NULL,NULL,NULL,0,492766,20137982,NULL,NULL,20630748,18160504,NULL,2470244,20630748,86,3121,NULL,3121,NULL,36,NULL,36,3,325,149,78000,357970,1927,NULL,NULL,NULL,NULL,NULL,Yes
Gustine,1292,2023,19055,NULL,NULL,NULL,112591,NULL,NULL,NULL,5472,137118,NULL,NULL,NULL,NULL,NULL,3823,NULL,NULL,NULL,110014,82174,83773,NULL,279784,-142666,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,-142666,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-142666,1043682,NULL,NULL,901016,1089868,NULL,-188852,901016,94,3200,NULL,200,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
Hanford,1294,2023,56712,NULL,NULL,86608,212274,NULL,NULL,NULL,11810,367404,NULL,NULL,2859,NULL,NULL,168317,51232,NULL,NULL,124234,NULL,324084,NULL,670726,-303322,2801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-619,2182,NULL,NULL,NULL,NULL,NULL,0,-301140,NULL,NULL,NULL,NULL,NULL,0,NULL,-4779,NULL,NULL,0,-305919,6227382,NULL,NULL,5921463,6173675,NULL,-252212,5921463,297,5179,NULL,5180,NULL,8,NULL,8,1,78,42,15000,36000,1950,NULL,NULL,NULL,NULL,NULL,No
Hawthorne,1296,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,694998,765905,1460903,NULL,NULL,NULL,NULL,NULL,NULL,NULL,211191,15974,609046,56016,317470,NULL,1209697,251206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,251206,NULL,NULL,NULL,NULL,NULL,0,962,-101805,NULL,NULL,0,150363,9107241,NULL,NULL,9257604,7573523,NULL,1684081,9257604,80,4884,NULL,4884,NULL,15,1,11,1,161,80,56114,1568830,1948,NULL,NULL,0,0,NULL,No
Hayward,1297,2023,1317738,NULL,97319,2159307,NULL,NULL,NULL,NULL,332224,3906588,NULL,NULL,NULL,NULL,NULL,NULL,1768576,921033,NULL,692215,NULL,1234923,NULL,4616747,-710159,500742,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500742,21230,NULL,NULL,NULL,NULL,21230,-230647,NULL,NULL,NULL,NULL,NULL,0,NULL,-348743,NULL,NULL,0,-579390,18402446,324138,Prior year ending balance adjustment,18147194,11887496,NULL,6259698,18147194,521,5694,NULL,5694,NULL,2,NULL,4,NULL,447,207,128954,2059888,1947,NULL,NULL,NULL,NULL,NULL,No
Healdsburg,1298,2023,131930,1600,NULL,57990,146423,NULL,48615,NULL,122343,508901,NULL,NULL,NULL,NULL,NULL,NULL,13208,NULL,239412,43139,NULL,125736,NULL,421495,87406,5472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5472,NULL,NULL,NULL,NULL,NULL,0,92878,NULL,NULL,NULL,NULL,NULL,0,NULL,-850,NULL,NULL,0,92028,3686008,NULL,NULL,3778036,3361026,NULL,417010,3778036,50,2652,NULL,3000,NULL,1,NULL,2,NULL,54,49,21900,24487,NULL,NULL,NULL,NULL,NULL,NULL,No
Hollister,1306,2023,724297,9320,230884,324540,18924,11851,NULL,NULL,71907,1391723,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1304241,NULL,NULL,NULL,1304241,87482,-968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-968,65,NULL,NULL,NULL,NULL,65,86449,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,86449,18015652,NULL,NULL,18102101,18943586,NULL,-841485,18102101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
Lincoln,1350,2023,732327,NULL,NULL,NULL,1358807,NULL,NULL,NULL,15176,2106310,NULL,NULL,NULL,NULL,NULL,NULL,230719,75710,1100170,122484,NULL,212239,NULL,1741322,364988,33535,NULL,NULL,NULL,61114,NULL,71209,NULL,NULL,NULL,NULL,NULL,165858,NULL,NULL,NULL,NULL,103731,103731,427115,NULL,NULL,NULL,NULL,NULL,0,NULL,-167333,NULL,NULL,0,259782,-364940,212770,Prior period adjustment,107612,5500129,NULL,-5392517,107612,774,6001,NULL,6001,NULL,16,NULL,16,0,319,218,94000,185684,1942,417,441,NULL,NULL,NULL,No
Livermore,1353,2023,2630405,15817,67702,330058,118262,NULL,NULL,359713,20809,3542766,NULL,NULL,NULL,NULL,NULL,NULL,1771862,151290,69231,523128,NULL,347231,NULL,2862742,680024,422059,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,518621,940680,104081,NULL,NULL,NULL,NULL,104081,1516623,3398,NULL,NULL,NULL,NULL,3398,NULL,-62,NULL,NULL,0,1519959,20929982,NULL,NULL,22449941,17127426,NULL,5322515,22449941,644,5253,NULL,5720,NULL,173,NULL,12,1,454,393,184527,965122,1961,NULL,NULL,NULL,NULL,NULL,No
Lompoc,1358,2023,200550,866,16275,147595,238317,NULL,NULL,NULL,-3869,599734,NULL,NULL,NULL,NULL,NULL,NULL,113401,94567,182208,35638,NULL,201012,-31816,595010,4724,184689,NULL,NULL,4367061,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,4561750,3004,NULL,NULL,NULL,NULL,3004,4563470,NULL,NULL,NULL,NULL,NULL,0,88023,NULL,NULL,NULL,0,4651493,9393429,NULL,NULL,14044922,13779888,NULL,265034,14044922,193,4600,0,4600,0,17,0,9,1,81,78,10000,37365,1991,0,0,0,0,0,No
Long Beach,1359,2023,NULL,NULL,335000,11514000,200000,21435000,9580000,NULL,12136000,55200000,7028000,NULL,NULL,3178000,NULL,NULL,13836000,3652000,747000,1089000,NULL,17166000,15060000,61756000,-6556000,2333000,NULL,NULL,NULL,24000,NULL,NULL,NULL,NULL,NULL,NULL,910000,3267000,4991000,NULL,NULL,5000,4000,5000000,-8289000,23041000,NULL,NULL,NULL,NULL,23041000,NULL,-136000,NULL,NULL,0,14616000,274639000,NULL,NULL,289255000,245199000,40973000,3083000,289255000,1175,10000,NULL,5808,NULL,10,NULL,50,30,366,90,340489,24747796,1924,1767380,1767012,33553845,327228,48,No
Los Angeles,1364,2023,12315233,852323,818321749,127822511,5495438,330602313,447491399,6745922,3208354,1752855242,46934962,NULL,NULL,205216695,NULL,43314920,282265226,185199533,13852985,76651998,NULL,697167056,NULL,1550603375,202251867,77182400,NULL,144321861,NULL,3072140,NULL,NULL,NULL,NULL,NULL,NULL,92136240,316712641,424184834,NULL,NULL,68192337,7112163,499489334,19475174,355772051,NULL,93832,NULL,38364729,394230612,NULL,NULL,NULL,NULL,0,413705786,5718407636,-72874,Adopted GASB statement No. 96,6132040548,4978798977,520901793,632339778,6132040548,22030,12091,NULL,15340,NULL,NULL,NULL,NULL,13449,NULL,38,875496,NULL,1928,35525350,35440673,4750892000,214472000,133,No
Los Banos,1365,2023,NULL,105,106362,NULL,NULL,NULL,209819,NULL,721,317007,NULL,NULL,NULL,NULL,NULL,NULL,17404,14853,4509,19970,177333,92288,53604,379961,-62954,17431,NULL,NULL,NULL,NULL,NULL,6073,10000,NULL,NULL,NULL,NULL,33504,NULL,NULL,NULL,NULL,NULL,0,-29450,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-29450,1659036,NULL,NULL,1629586,779475,NULL,850111,1629586,124,3800,NULL,2300,NULL,2,NULL,2,1,30,32,NULL,NULL,1943,NULL,NULL,NULL,NULL,5,No
Madera,1369,2023,180050,4356,16480,NULL,NULL,NULL,NULL,15526,267896,484308,NULL,NULL,NULL,NULL,NULL,NULL,247560,NULL,351645,311788,NULL,297676,18331,1227000,-742692,45112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96082,141194,634,NULL,NULL,NULL,NULL,634,-602132,NULL,NULL,NULL,NULL,NULL,0,NULL,-17672,NULL,NULL,0,-619804,12499618,NULL,NULL,11879814,11355859,NULL,523955,11879814,920,5544,3702,6345,2600,16,NULL,6,1,128,130,53600,80047,1947,NULL,NULL,NULL,NULL,NULL,No
